Time (sec),latitude(deg),longitude(deg),X (m),Y (m),height(m),sdn(m),sde(m),sdu(m),Vn(km/h),Vn (m/s),Ve(km/h),Ve(m/s),Vd(km/h),Vu(m/s)
142,45.9611009,-66.62689154,683882.31,5092463.824,-17.3375,4.6667,3.2814,8.4175,0.032,0.008888889,0.011,0.003055556,-0.001,0.000277778
143,45.96110085,-66.6268909,683882.3597,5092463.82,-17.7205,4.6674,3.2813,8.417,0.033,0.009166667,0.004,0.001111111,-0.003,0.000833333
144,45.96110167,-66.62689065,683882.3764,5092463.911,-17.7477,4.668,3.2811,8.4166,0.031,0.008611111,-0.001,-0.000277778,-0.004,0.001111111
145,45.9611025,-66.62689086,683882.3574,5092464.003,-17.7506,4.6687,3.281,8.4161,0.03,0.008333333,-0.006,-0.001666667,-0.004,0.001111111
146,45.96110342,-66.62689201,683882.2652,5092464.103,-17.8825,4.6693,3.2808,8.4156,0.028,0.007777778,-0.013,-0.003611111,-0.004,0.001111111
147,45.96110371,-66.62689327,683882.1666,5092464.132,-17.6369,4.67,3.2807,8.4151,0.025,0.006944444,-0.022,-0.006111111,-0.004,0.001111111
148,45.96110347,-66.62689263,683882.217,5092464.107,-17.5839,4.6706,3.2805,8.4147,0.021,0.005833333,-0.032,-0.008888889,-0.005,0.001388889
149,45.96110426,-66.62689121,683882.3244,5092464.198,-17.8448,4.6713,3.2804,8.4142,0.018,0.005,-0.041,-0.011388889,-0.005,0.001388889
150,45.96110521,-66.62688974,683882.4352,5092464.307,-17.8235,4.6719,3.2803,8.4137,0.014,0.003888889,-0.05,-0.013888889,-0.006,0.001666667
151,45.96110546,-66.62689116,683882.3243,5092464.331,-17.7007,4.6726,3.2801,8.4133,0.007,0.001944444,-0.06,-0.016666667,-0.006,0.001666667
152,45.96110643,-66.62688962,683882.4404,5092464.443,-17.7356,4.6733,3.28,8.4128,0.003,0.000833333,-0.068,-0.018888889,-0.006,0.001666667
153,45.961106,-66.62689034,683882.3861,5092464.393,-17.6289,4.6739,3.2798,8.4123,-0.003,-0.000833333,-0.076,-0.021111111,-0.006,0.001666667
154,45.96110523,-66.62689095,683882.3413,5092464.306,-17.5931,4.6746,3.2797,8.4119,-0.01,-0.002777778,-0.081,-0.0225,-0.007,0.001944444
155,45.96110558,-66.62689092,683882.3425,5092464.345,-17.4847,4.6752,3.2795,8.4114,-0.014,-0.003888889,-0.085,-0.023611111,-0.008,0.002222222
