X,Y,Z,Latitude,Longitude,Altitude (m)
683881.017157876,5092463.79755331,-20.46,45.96110101,-66.62690822,-20.46
683881.012244019,5092463.80630305,-20.461,45.96110109,-66.62690828,-20.461
683881.008946048,5092463.81287689,-20.462,45.96110115,-66.62690832,-20.462
683881.005714275,5092463.81722868,-20.463,45.96110119,-66.62690836,-20.463
683881.001773857,5092463.81933532,-20.464,45.96110121,-66.62690841,-20.464
683880.997058594,5092463.82141888,-20.466,45.96110123,-66.62690847,-20.466
683880.996151354,5092463.82583992,-20.468,45.96110127,-66.62690848,-20.468
683880.999151433,5092463.82926534,-20.47,45.9611013,-66.62690844,-20.47
683881.000734219,5092463.82820048,-20.469,45.96110129,-66.62690842,-20.469
683880.999959376,5092463.8281774,-20.467,45.96110129,-66.62690843,-20.467
683881.000833517,5092463.82486739,-20.464,45.96110126,-66.62690842,-20.464
683881.000932814,5092463.8215343,-20.463,45.96110123,-66.62690842,-20.463
683881.000290367,5092463.81706709,-20.461,45.96110119,-66.62690843,-20.461
683880.998806877,5092463.81479887,-20.459,45.96110117,-66.62690845,-20.459
683880.992541928,5092463.81683625,-20.459,45.96110119,-66.62690853,-20.459
683880.985435935,5092463.82107262,-20.458,45.96110123,-66.62690862,-20.458
683880.978329942,5092463.82530899,-20.456,45.96110127,-66.62690871,-20.456
683880.972773637,5092463.82959152,-20.456,45.96110131,-66.62690878,-20.456
683880.97025051,5092463.83618846,-20.456,45.96110137,-66.62690881,-20.456
683880.968535326,5092463.84169744,-20.456,45.96110142,-66.62690883,-20.456
683880.969952618,5092463.84618773,-20.457,45.96110146,-66.62690881,-20.457
683880.97372754,5092463.84963623,-20.458,45.96110149,-66.62690876,-20.458
683880.977601761,5092463.84975165,-20.459,45.96110149,-66.62690871,-20.459
683880.981442882,5092463.8509781,-20.459,45.9611015,-66.62690866,-20.459
683880.982959471,5092463.8521353,-20.461,45.96110151,-66.62690864,-20.461
683880.983701216,5092463.85326941,-20.461,45.96110152,-66.62690863,-20.461
683880.985250904,5092463.85331558,-20.461,45.96110152,-66.62690861,-20.461
683880.989158223,5092463.85231997,-20.461,45.96110151,-66.62690856,-20.461
683880.991548954,5092463.85016716,-20.46,45.96110149,-66.62690853,-20.46
683880.992356896,5092463.84907921,-20.46,45.96110148,-66.62690852,-20.46
683880.991615153,5092463.8479451,-20.46,45.96110147,-66.62690853,-20.46
683880.990840307,5092463.84792202,-20.461,45.96110147,-66.62690854,-20.461
683880.990098563,5092463.8467879,-20.462,45.96110146,-66.62690855,-20.462
683880.990164762,5092463.84456584,-20.465,45.96110144,-66.62690855,-20.465
683880.98780713,5092463.84560762,-20.469,45.96110145,-66.62690858,-20.469
683880.986290542,5092463.84445042,-20.472,45.96110144,-66.6269086,-20.472
683880.985548796,5092463.84331631,-20.476,45.96110143,-66.62690861,-20.476
683880.98726398,5092463.83780733,-20.479,45.96110138,-66.62690859,-20.479
683880.988979164,5092463.83229834,-20.48,45.96110133,-66.62690857,-20.48
683880.988402914,5092463.82560908,-20.481,45.96110127,-66.62690858,-20.481
683880.989376353,5092463.81896598,-20.481,45.96110121,-66.62690857,-20.481
683880.990283593,5092463.81454495,-20.48,45.96110117,-66.62690856,-20.48
683880.992641225,5092463.81350317,-20.478,45.96110116,-66.62690853,-20.478
683880.99334987,5092463.81574831,-20.476,45.96110118,-66.62690852,-20.476
683880.993926119,5092463.82243757,-20.475,45.96110124,-66.62690851,-20.475
683880.994469269,5092463.83023787,-20.473,45.96110131,-66.6269085,-20.473
683880.994204476,5092463.83912611,-20.473,45.96110139,-66.6269085,-20.473
683880.995489372,5092463.84806052,-20.471,45.96110147,-66.62690848,-20.471
683880.996807366,5092463.8558839,-20.471,45.96110154,-66.62690846,-20.471
683880.995800828,5092463.86363802,-20.471,45.96110161,-66.62690847,-20.471
683880.994052545,5092463.87025804,-20.471,45.96110167,-66.62690849,-20.471
683880.992304262,5092463.87687805,-20.472,45.96110173,-66.62690851,-20.472
683880.989781135,5092463.88347498,-20.471,45.96110179,-66.62690854,-20.471
683880.987291109,5092463.88896088,-20.47,45.96110184,-66.62690857,-20.47
683880.987191811,5092463.89229397,-20.471,45.96110187,-66.62690857,-20.471
683880.987092514,5092463.89562706,-20.472,45.9611019,-66.62690857,-20.472
683880.987026316,5092463.89784912,-20.472,45.96110192,-66.62690857,-20.472
683880.989284648,5092463.90014043,-20.473,45.96110194,-66.62690854,-20.473
683880.990026395,5092463.90127454,-20.474,45.96110195,-66.62690853,-20.474
683880.991509883,5092463.90354277,-20.477,45.96110197,-66.62690851,-20.477
683880.993801316,5092463.90472305,-20.48,45.96110198,-66.62690848,-20.48
683880.998483479,5092463.90375052,-20.482,45.96110197,-66.62690842,-20.482
683881.002423898,5092463.90164388,-20.482,45.96110195,-66.62690837,-20.482
683881.007205358,5092463.89733826,-20.48,45.96110191,-66.62690831,-20.48
683881.011311273,5092463.88967647,-20.478,45.96110184,-66.62690826,-20.478
683881.014576144,5092463.88421366,-20.477,45.96110179,-66.62690822,-20.477
683881.017132371,5092463.8765057,-20.478,45.96110172,-66.62690819,-20.478
683881.018006512,5092463.87319569,-20.48,45.96110169,-66.62690818,-20.48
683881.018847555,5092463.87099671,-20.48,45.96110167,-66.62690817,-20.48
683881.019688597,5092463.86879774,-20.481,45.96110165,-66.62690816,-20.481
683881.022079326,5092463.86664493,-20.48,45.96110163,-66.62690813,-20.48
683881.022821071,5092463.86777904,-20.478,45.96110164,-66.62690812,-20.478
683881.021946929,5092463.87108905,-20.478,45.96110167,-66.62690813,-20.478
683881.021814533,5092463.87553317,-20.478,45.96110171,-66.62690813,-20.478
683881.021682136,5092463.87997729,-20.477,45.96110175,-66.62690813,-20.477
683881.020807996,5092463.88328729,-20.477,45.96110178,-66.62690814,-20.477
683881.020807996,5092463.88328729,-20.476,45.96110178,-66.62690814,-20.476
683881.019291407,5092463.8821301,-20.475,45.96110177,-66.62690816,-20.475
683881.019324506,5092463.88101907,-20.476,45.96110176,-66.62690816,-20.476
683881.021748335,5092463.87775523,-20.475,45.96110173,-66.62690813,-20.475
683881.025721852,5092463.87453756,-20.476,45.9611017,-66.62690808,-20.476
683881.028079484,5092463.87349578,-20.474,45.96110169,-66.62690805,-20.474
683881.029662271,5092463.87243091,-20.473,45.96110168,-66.62690803,-20.473
683881.030437115,5092463.872454,-20.471,45.96110168,-66.62690802,-20.471
683881.032761647,5092463.87252325,-20.472,45.96110168,-66.62690799,-20.472
683881.035827924,5092463.87372662,-20.472,45.96110169,-66.62690795,-20.472
683881.036503471,5092463.87708279,-20.473,45.96110172,-66.62690794,-20.473
683881.036404174,5092463.88041588,-20.476,45.96110175,-66.62690794,-20.476
683881.037112819,5092463.88266102,-20.477,45.96110177,-66.62690793,-20.477
683881.033947245,5092463.88479075,-20.475,45.96110179,-66.62690797,-20.475
683881.032397556,5092463.88474458,-20.477,45.96110179,-66.62690799,-20.477
